entname,enttypename,entid,enttypeid,byif_out_util_max,byif_in_util_pct10,byif_name,byif_out_util_pct10,byif_latency_c_avg,description,byif_com_speed_c,byif_out_bit_rate,byif_latency_c_max,byif_out_util_count,byif_out_util_avg,byif_bandwidth,byif_in_bit_rate,byif_errors_c,byif_in_util_count,byif_in_error_c,byif_in_util_avg,byif_in_util_max,byif_desc,location_site,byif_out_error_c
AL010,Network - Device,48694,sys:net:dev,11.13,0.493,CPE1,0.561,5.116,Branch,DNI-6,504549.833,7,30,1.681,30000000,572784.716,0,30,0,1.909,17.731,GigabitEthernet0/0/0,CASALE MONFERRATO,0
AL010,Network - Device,48694,sys:net:dev,0,0,LTE,0,5.341,Branch,DNI-6,0,8,30,0,30000000,0,0,30,0,0,0,LTE,CASALE MONFERRATO,0
BO009,Network - Device,28289,sys:net:dev,3.186,0.14,CPE1,0.123,9.003,Branch,DNI-3,355971.857,10,72,0.355,100000000,561963.041,0,72,0,0.562,4.05,Ethernet0/2/0_100,,0
AL004,Network - Device,39222,sys:net:dev,1.83,0.143,CPE2,0.106,17.062,Branch,DNI-3,334380.767,19,72,0.334,100000000,753448.916,0,72,0,0.753,4.898,Ethernet0/2/0_100,VALENZA,0
AL004,Network - Device,39222,sys:net:dev,1.936,0.152,CPE1,0.138,17.027,Branch,DNI-3,384518.27,20,72,0.384,100000000,630406,0,72,0,0.63,2.979,Ethernet0/2/0_100,VALENZA,0
AL004,Network - Device,39222,sys:net:dev,0,0,LTE,0,19.01,Branch,DNI-3,0,23,72,0,100000000,0,0,72,0,0,0,LTE,VALENZA,0
AG038,Network - Device,52023,sys:net:dev,0,0,CPE2,0,38.817,Branch,DNI-3,0,43,48,0,100000000,0,0,48,0,0,0,Ethernet0/2/0_90,CIANCIANA,0
BO009,Network - Device,28289,sys:net:dev,0,0,LTE,0,9.013,Branch,DNI-3,0,12,72,0,100000000,0,0,72,0,0,0,LTE,,0
AG038,Network - Device,52023,sys:net:dev,0,0,CPE1,0,40.697,Branch,DNI-3,0,46,48,0,100000000,0,0,48,0,0,0,Ethernet0/2/0_90,CIANCIANA,0
AG038,Network - Device,52023,sys:net:dev,0.003,0,LTE,0,33.322,Branch,DNI-3,14.468,34,48,0,100000000,14.109,0,48,0,0,0.003,LTE,CIANCIANA,0
AG048,Network - Device,52920,sys:net:dev,0.976,0.104,CPE2,0.073,28.041,Branch,DNI-3,245358.177,31,24,0.245,100000000,401200.01,0,24,0,0.401,2.122,Ethernet0/2/0_100,RIBERA,0
